identifier,grouping,county,keyhealthindicator,date,cases_rate
Mombasa_Measles_2023/August,3-Cases Reported,Mombasa,Measles,08/01/2023,35
Migori_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,Migori,Measles-Rubella 1 doses Administered,08/01/2023,4265
Migori_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,Migori,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,3228
Migori_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,Migori,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,247
Migori_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,Migori,Measles doses in stock at the beginning of the Month,08/01/2023,9944
Migori_Measles doses received within the Month_2023/August,2-Immunization,Migori,Measles doses received within the Month,08/01/2023,13950
Migori_Measles doses remaining  at the end Month_2023/August,2-Immunization,Migori,Measles doses remaining  at the end Month,08/01/2023,9403
Migori_Measles_2023/August,3-Cases Reported,Migori,Measles,08/01/2023,23
Meru_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,Meru,Measles-Rubella 1 doses Administered,08/01/2023,3091
Meru_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,Meru,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,2323
Meru_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,Meru,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,185
Meru_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,Meru,Measles doses in stock at the beginning of the Month,08/01/2023,13882
Meru_Measles doses received within the Month_2023/August,2-Immunization,Meru,Measles doses received within the Month,08/01/2023,15250
Meru_Measles doses remaining  at the end Month_2023/August,2-Immunization,Meru,Measles doses remaining  at the end Month,08/01/2023,12012
Meru_Measles_2023/August,3-Cases Reported,Meru,Measles,08/01/2023,26
Marsabit_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,Marsabit,Measles-Rubella 1 doses Administered,08/01/2023,857
Marsabit_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,Marsabit,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,617
Marsabit_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,Marsabit,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,44
Marsabit_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,Marsabit,Measles doses in stock at the beginning of the Month,08/01/2023,4303
Marsabit_Measles doses received within the Month_2023/August,2-Immunization,Marsabit,Measles doses received within the Month,08/01/2023,2420
Marsabit_Measles doses remaining  at the end Month_2023/August,2-Immunization,Marsabit,Measles doses remaining  at the end Month,08/01/2023,4747
Makueni_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,Makueni,Measles-Rubella 1 doses Administered,08/01/2023,2162
Makueni_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,Makueni,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,5674
Makueni_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,Makueni,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,7
Makueni_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,Makueni,Measles doses in stock at the beginning of the Month,08/01/2023,15958
Makueni_Measles doses received within the Month_2023/August,2-Immunization,Makueni,Measles doses received within the Month,08/01/2023,13730
Makueni_Measles doses remaining  at the end Month_2023/August,2-Immunization,Makueni,Measles doses remaining  at the end Month,08/01/2023,16084
Makueni_Measles_2023/August,3-Cases Reported,Makueni,Measles,08/01/2023,14
Mandera_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,Mandera,Measles-Rubella 1 doses Administered,08/01/2023,1756
Mandera_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,Mandera,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,545
Mandera_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,Mandera,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,35
Mandera_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,Mandera,Measles doses in stock at the beginning of the Month,08/01/2023,190
Mandera_Measles doses received within the Month_2023/August,2-Immunization,Mandera,Measles doses received within the Month,08/01/2023,200
Mandera_Measles doses remaining  at the end Month_2023/August,2-Immunization,Mandera,Measles doses remaining  at the end Month,08/01/2023,160
Mandera_Measles_2023/August,3-Cases Reported,Mandera,Measles,08/01/2023,7
Taita/Taveta_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,Taita/Taveta,Measles-Rubella 1 doses Administered,08/01/2023,690
Taita/Taveta_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,Taita/Taveta,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,547
Taita/Taveta_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,Taita/Taveta,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,13
Taita/Taveta_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,Taita/Taveta,Measles doses in stock at the beginning of the Month,08/01/2023,5785
Taita/Taveta_Measles doses received within the Month_2023/August,2-Immunization,Taita/Taveta,Measles doses received within the Month,08/01/2023,4130
Taita/Taveta_Measles doses remaining  at the end Month_2023/August,2-Immunization,Taita/Taveta,Measles doses remaining  at the end Month,08/01/2023,5250
Tana River_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,Tana River,Measles-Rubella 1 doses Administered,08/01/2023,922
Tana River_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,Tana River,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,557
Tana River_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,Tana River,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,33
Tana River_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,Tana River,Measles doses in stock at the beginning of the Month,08/01/2023,2210
Tana River_Measles doses received within the Month_2023/August,2-Immunization,Tana River,Measles doses received within the Month,08/01/2023,2520
Tana River_Measles doses remaining  at the end Month_2023/August,2-Immunization,Tana River,Measles doses remaining  at the end Month,08/01/2023,1940
Tana River_Measles_2023/August,3-Cases Reported,Tana River,Measles,08/01/2023,27
Tharaka-Nithi_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,Tharaka-Nithi,Measles-Rubella 1 doses Administered,08/01/2023,919
Tharaka-Nithi_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,Tharaka-Nithi,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,640
Tharaka-Nithi_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,Tharaka-Nithi,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,14
Tharaka-Nithi_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,Tharaka-Nithi,Measles doses in stock at the beginning of the Month,08/01/2023,7405
Tharaka-Nithi_Measles doses received within the Month_2023/August,2-Immunization,Tharaka-Nithi,Measles doses received within the Month,08/01/2023,4280
Tharaka-Nithi_Measles doses remaining  at the end Month_2023/August,2-Immunization,Tharaka-Nithi,Measles doses remaining  at the end Month,08/01/2023,7115
Tharaka-Nithi_Measles_2023/August,3-Cases Reported,Tharaka-Nithi,Measles,08/01/2023,38
Trans Nzoia_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,Trans Nzoia,Measles-Rubella 1 doses Administered,08/01/2023,2414
Trans Nzoia_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,Trans Nzoia,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,1492
Trans Nzoia_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,Trans Nzoia,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,217
Trans Nzoia_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,Trans Nzoia,Measles doses in stock at the beginning of the Month,08/01/2023,8680
Trans Nzoia_Measles doses received within the Month_2023/August,2-Immunization,Trans Nzoia,Measles doses received within the Month,08/01/2023,12430
Trans Nzoia_Measles doses remaining  at the end Month_2023/August,2-Immunization,Trans Nzoia,Measles doses remaining  at the end Month,08/01/2023,9725
Trans Nzoia_Measles_2023/August,3-Cases Reported,Trans Nzoia,Measles,08/01/2023,4
Turkana_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,Turkana,Measles-Rubella 1 doses Administered,08/01/2023,2918
Turkana_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,Turkana,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,1342
Turkana_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,Turkana,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,381
Turkana_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,Turkana,Measles doses in stock at the beginning of the Month,08/01/2023,13966
Turkana_Measles doses received within the Month_2023/August,2-Immunization,Turkana,Measles doses received within the Month,08/01/2023,7070
Turkana_Measles doses remaining  at the end Month_2023/August,2-Immunization,Turkana,Measles doses remaining  at the end Month,08/01/2023,14961
Turkana_Measles_2023/August,3-Cases Reported,Turkana,Measles,08/01/2023,166
Uasin Gishu_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,Uasin Gishu,Measles-Rubella 1 doses Administered,08/01/2023,2589
Uasin Gishu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,Uasin Gishu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,1973
Uasin Gishu_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,Uasin Gishu,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,14
Uasin Gishu_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,Uasin Gishu,Measles doses in stock at the beginning of the Month,08/01/2023,13305
Uasin Gishu_Measles doses received within the Month_2023/August,2-Immunization,Uasin Gishu,Measles doses received within the Month,08/01/2023,12850
Uasin Gishu_Measles doses remaining  at the end Month_2023/August,2-Immunization,Uasin Gishu,Measles doses remaining  at the end Month,08/01/2023,11796
Uasin Gishu_Measles_2023/August,3-Cases Reported,Uasin Gishu,Measles,08/01/2023,12
Vihiga_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,Vihiga,Measles-Rubella 1 doses Administered,08/01/2023,1483
Vihiga_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,Vihiga,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,1217
Vihiga_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,Vihiga,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,98
Vihiga_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,Vihiga,Measles doses in stock at the beginning of the Month,08/01/2023,4880
Vihiga_Measles doses received within the Month_2023/August,2-Immunization,Vihiga,Measles doses received within the Month,08/01/2023,8728
Vihiga_Measles doses remaining  at the end Month_2023/August,2-Immunization,Vihiga,Measles doses remaining  at the end Month,08/01/2023,5990
Vihiga_Measles_2023/August,3-Cases Reported,Vihiga,Measles,08/01/2023,3
Wajir_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,Wajir,Measles-Rubella 1 doses Administered,08/01/2023,1624
Wajir_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,Wajir,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,865
Wajir_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,Wajir,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,65
Wajir_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,Wajir,Measles doses in stock at the beginning of the Month,08/01/2023,5066
Wajir_Measles doses received within the Month_2023/August,2-Immunization,Wajir,Measles doses received within the Month,08/01/2023,4910
Wajir_Measles doses remaining  at the end Month_2023/August,2-Immunization,Wajir,Measles doses remaining  at the end Month,08/01/2023,5277
Wajir_Measles_2023/August,3-Cases Reported,Wajir,Measles,08/01/2023,4
West Pokot_Measles-Rubella 1 doses Administered_2023/August,2-Immunization,West Pokot,Measles-Rubella 1 doses Administered,08/01/2023,1857
West Pokot_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/August,2-Immunization,West Pokot,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),08/01/2023,950
West Pokot_Measles-Rubella 2 Dose Administered >2 yrs_2023/August,2-Immunization,West Pokot,Measles-Rubella 2 Dose Administered >2 yrs,08/01/2023,63
West Pokot_Measles doses in stock at the beginning of the Month_2023/August,2-Immunization,West Pokot,Measles doses in stock at the beginning of the Month,08/01/2023,8320
West Pokot_Measles doses received within the Month_2023/August,2-Immunization,West Pokot,Measles doses received within the Month,08/01/2023,5911
West Pokot_Measles doses remaining  at the end Month_2023/August,2-Immunization,West Pokot,Measles doses remaining  at the end Month,08/01/2023,8418
Baringo_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Baringo,Measles-Rubella 1 doses Administered,09/01/2023,1802
Baringo_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Baringo,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,1178
Baringo_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Baringo,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,140
Baringo_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Baringo,Measles doses in stock at the beginning of the Month,09/01/2023,6555
Baringo_Measles doses received within the Month_2023/September,2-Immunization,Baringo,Measles doses received within the Month,09/01/2023,5340
Baringo_Measles doses remaining  at the end Month_2023/September,2-Immunization,Baringo,Measles doses remaining  at the end Month,09/01/2023,6837
Baringo_Measles_2023/September,3-Cases Reported,Baringo,Measles,09/01/2023,3
Bomet_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Bomet,Measles-Rubella 1 doses Administered,09/01/2023,1855
Bomet_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Bomet,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,1222
Bomet_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Bomet,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,8
Bomet_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Bomet,Measles doses in stock at the beginning of the Month,09/01/2023,7440
Bomet_Measles doses received within the Month_2023/September,2-Immunization,Bomet,Measles doses received within the Month,09/01/2023,9049
Bomet_Measles doses remaining  at the end Month_2023/September,2-Immunization,Bomet,Measles doses remaining  at the end Month,09/01/2023,7689
Bungoma_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Bungoma,Measles-Rubella 1 doses Administered,09/01/2023,4212
Bungoma_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Bungoma,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,2451
Bungoma_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Bungoma,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,66
Bungoma_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Bungoma,Measles doses in stock at the beginning of the Month,09/01/2023,13580
Bungoma_Measles doses received within the Month_2023/September,2-Immunization,Bungoma,Measles doses received within the Month,09/01/2023,12190
Bungoma_Measles doses remaining  at the end Month_2023/September,2-Immunization,Bungoma,Measles doses remaining  at the end Month,09/01/2023,11180
Bungoma_Measles_2023/September,3-Cases Reported,Bungoma,Measles,09/01/2023,8
Isiolo_Measles_2023/September,3-Cases Reported,Isiolo,Measles,09/01/2023,2
Busia_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Busia,Measles-Rubella 1 doses Administered,09/01/2023,2228
Busia_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Busia,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,1290
Busia_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Busia,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,64
Busia_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Busia,Measles doses in stock at the beginning of the Month,09/01/2023,8154
Busia_Measles doses received within the Month_2023/September,2-Immunization,Busia,Measles doses received within the Month,09/01/2023,8920
Busia_Measles doses remaining  at the end Month_2023/September,2-Immunization,Busia,Measles doses remaining  at the end Month,09/01/2023,6794
Busia_Measles_2023/September,3-Cases Reported,Busia,Measles,09/01/2023,28
Elgeyo/Marakwet_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Elgeyo/Marakwet,Measles-Rubella 1 doses Administered,09/01/2023,1021
Elgeyo/Marakwet_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Elgeyo/Marakwet,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,628
Elgeyo/Marakwet_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Elgeyo/Marakwet,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,17
Elgeyo/Marakwet_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Elgeyo/Marakwet,Measles doses in stock at the beginning of the Month,09/01/2023,8231
Elgeyo/Marakwet_Measles doses received within the Month_2023/September,2-Immunization,Elgeyo/Marakwet,Measles doses received within the Month,09/01/2023,4930
Elgeyo/Marakwet_Measles doses remaining  at the end Month_2023/September,2-Immunization,Elgeyo/Marakwet,Measles doses remaining  at the end Month,09/01/2023,8323
Embu_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Embu,Measles-Rubella 1 doses Administered,09/01/2023,1228
Embu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Embu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,981
Embu_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Embu,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,3
Embu_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Embu,Measles doses in stock at the beginning of the Month,09/01/2023,5940
Embu_Measles doses received within the Month_2023/September,2-Immunization,Embu,Measles doses received within the Month,09/01/2023,6711
Embu_Measles doses remaining  at the end Month_2023/September,2-Immunization,Embu,Measles doses remaining  at the end Month,09/01/2023,5852
Embu_Measles_2023/September,3-Cases Reported,Embu,Measles,09/01/2023,5
Garissa_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Garissa,Measles-Rubella 1 doses Administered,09/01/2023,2411
Garissa_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Garissa,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,1515
Garissa_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Garissa,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,149
Garissa_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Garissa,Measles doses in stock at the beginning of the Month,09/01/2023,10115
Garissa_Measles doses received within the Month_2023/September,2-Immunization,Garissa,Measles doses received within the Month,09/01/2023,6543
Garissa_Measles doses remaining  at the end Month_2023/September,2-Immunization,Garissa,Measles doses remaining  at the end Month,09/01/2023,9071
Garissa_Measles_2023/September,3-Cases Reported,Garissa,Measles,09/01/2023,4
Homa Bay_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Homa Bay,Measles-Rubella 1 doses Administered,09/01/2023,2782
Homa Bay_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Homa Bay,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,1574
Homa Bay_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Homa Bay,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,170
Homa Bay_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Homa Bay,Measles doses in stock at the beginning of the Month,09/01/2023,11260
Homa Bay_Measles doses received within the Month_2023/September,2-Immunization,Homa Bay,Measles doses received within the Month,09/01/2023,7625
Homa Bay_Measles doses remaining  at the end Month_2023/September,2-Immunization,Homa Bay,Measles doses remaining  at the end Month,09/01/2023,5543
Homa Bay_Measles_2023/September,3-Cases Reported,Homa Bay,Measles,09/01/2023,15
Isiolo_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Isiolo,Measles-Rubella 1 doses Administered,09/01/2023,529
Isiolo_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Isiolo,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,360
Isiolo_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Isiolo,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,35
Isiolo_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Isiolo,Measles doses in stock at the beginning of the Month,09/01/2023,2790
Isiolo_Measles doses received within the Month_2023/September,2-Immunization,Isiolo,Measles doses received within the Month,09/01/2023,2620
Isiolo_Measles doses remaining  at the end Month_2023/September,2-Immunization,Isiolo,Measles doses remaining  at the end Month,09/01/2023,2850
Kajiado_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Kajiado,Measles-Rubella 1 doses Administered,09/01/2023,2893
Kajiado_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Kajiado,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,1674
Kajiado_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Kajiado,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,43
Kajiado_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Kajiado,Measles doses in stock at the beginning of the Month,09/01/2023,12974
Kajiado_Measles doses received within the Month_2023/September,2-Immunization,Kajiado,Measles doses received within the Month,09/01/2023,9850
Kajiado_Measles doses remaining  at the end Month_2023/September,2-Immunization,Kajiado,Measles doses remaining  at the end Month,09/01/2023,12900
Kajiado_Measles_2023/September,3-Cases Reported,Kajiado,Measles,09/01/2023,22
Kakamega_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Kakamega,Measles-Rubella 1 doses Administered,09/01/2023,5167
Kakamega_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Kakamega,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,4206
Kakamega_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Kakamega,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,656
Kakamega_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Kakamega,Measles doses in stock at the beginning of the Month,09/01/2023,16800
Kakamega_Measles doses received within the Month_2023/September,2-Immunization,Kakamega,Measles doses received within the Month,09/01/2023,26112
Kakamega_Measles doses remaining  at the end Month_2023/September,2-Immunization,Kakamega,Measles doses remaining  at the end Month,09/01/2023,14610
Kakamega_Measles_2023/September,3-Cases Reported,Kakamega,Measles,09/01/2023,17
Kericho_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Kericho,Measles-Rubella 1 doses Administered,09/01/2023,1931
Kericho_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Kericho,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,1249
Kericho_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Kericho,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,28
Kericho_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Kericho,Measles doses in stock at the beginning of the Month,09/01/2023,10991
Kericho_Measles doses received within the Month_2023/September,2-Immunization,Kericho,Measles doses received within the Month,09/01/2023,13010
Kericho_Measles doses remaining  at the end Month_2023/September,2-Immunization,Kericho,Measles doses remaining  at the end Month,09/01/2023,12651
Kericho_Measles_2023/September,3-Cases Reported,Kericho,Measles,09/01/2023,5
Kiambu_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Kiambu,Measles-Rubella 1 doses Administered,09/01/2023,4095
Kiambu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Kiambu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,3065
Kiambu_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Kiambu,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,52
Kiambu_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Kiambu,Measles doses in stock at the beginning of the Month,09/01/2023,12461
Kiambu_Measles doses received within the Month_2023/September,2-Immunization,Kiambu,Measles doses received within the Month,09/01/2023,13490
Kiambu_Measles doses remaining  at the end Month_2023/September,2-Immunization,Kiambu,Measles doses remaining  at the end Month,09/01/2023,11364
Kiambu_Measles_2023/September,3-Cases Reported,Kiambu,Measles,09/01/2023,29
Kilifi_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Kilifi,Measles-Rubella 1 doses Administered,09/01/2023,3862
Kilifi_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Kilifi,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,2879
Kilifi_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Kilifi,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,329
Kilifi_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Kilifi,Measles doses in stock at the beginning of the Month,09/01/2023,17980
Kilifi_Measles doses received within the Month_2023/September,2-Immunization,Kilifi,Measles doses received within the Month,09/01/2023,15380
Kilifi_Measles doses remaining  at the end Month_2023/September,2-Immunization,Kilifi,Measles doses remaining  at the end Month,09/01/2023,14465
Kilifi_Measles_2023/September,3-Cases Reported,Kilifi,Measles,09/01/2023,13
Kirinyaga_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Kirinyaga,Measles-Rubella 1 doses Administered,09/01/2023,1154
Kirinyaga_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Kirinyaga,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,973
Kirinyaga_Measles doses in stock at the beginning of the Month_2023/September,2-Immunization,Kirinyaga,Measles doses in stock at the beginning of the Month,09/01/2023,9880
Kirinyaga_Measles doses received within the Month_2023/September,2-Immunization,Kirinyaga,Measles doses received within the Month,09/01/2023,7080
Kirinyaga_Measles doses remaining  at the end Month_2023/September,2-Immunization,Kirinyaga,Measles doses remaining  at the end Month,09/01/2023,8815
Kisii_Measles-Rubella 1 doses Administered_2023/September,2-Immunization,Kisii,Measles-Rubella 1 doses Administered,09/01/2023,2976
Kisii_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2023/September,2-Immunization,Kisii,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),09/01/2023,1842
Kisii_Measles-Rubella 2 Dose Administered >2 yrs_2023/September,2-Immunization,Kisii,Measles-Rubella 2 Dose Administered >2 yrs,09/01/2023,58
